session	topic	subject	product	goal	tasktype
54	30	0	intellectual	specific	interpretive
55	13	0	factual	amorphous	known-subject
56	24	0	factual	specific	known-item
57	46	0	intellectual	amorphous	exploratory
58	2	0	factual	specific	known-item
59	17	0	intellectual	amorphous	exploratory
60	40	0	factual	amorphous	known-subject
61	36	0	factual	amorphous	known-subject
62	27	0	factual	specific	known-item
63	46	0	intellectual	amorphous	exploratory
64	42	0	intellectual	amorphous	exploratory
65	29	0	factual	specific	known-item
66	22	0	intellectual	specific	interpretive
67	57	0	intellectual	amorphous	exploratory
68	31	0	factual	specific	known-item
69	57	0	intellectual	amorphous	exploratory
70	55	0	factual	specific	known-item
71	48	0	factual	amorphous	known-subject
72	25	0	intellectual	specific	interpretive
73	48	0	factual	amorphous	known-subject
74	14	0	intellectual	specific	interpretive
75	44	0	intellectual	specific	interpretive
76	37	0	factual	specific	known-item
77	32	0	intellectual	amorphous	exploratory
78	19	0	intellectual	amorphous	exploratory
79	40	0	factual	amorphous	known-subject
80	20	0	intellectual	amorphous	exploratory
81	34	0	intellectual	specific	interpretive
82	28	0	intellectual	specific	interpretive
83	30	0	intellectual	specific	interpretive
84	35	0	intellectual	specific	interpretive
85	3	0	intellectual	amorphous	exploratory
86	22	0	intellectual	specific	interpretive
87	53	0	intellectual	specific	interpretive
88	33	0	factual	amorphous	known-subject
89	56	0	factual	amorphous	known-subject
90	26	0	intellectual	amorphous	exploratory
91	21	0	factual	amorphous	known-subject
92	39	0	intellectual	amorphous	exploratory
93	44	0	intellectual	specific	interpretive
94	23	0	factual	amorphous	known-subject
95	5	0	factual	amorphous	known-subject
96	5	0	factual	amorphous	known-subject
97	55	0	factual	specific	known-item
98	6	0	factual	amorphous	known-subject
99	15	0	factual	specific	known-item
100	33	0	factual	amorphous	known-subject
101	32	0	intellectual	amorphous	exploratory
102	49	0	factual	specific	known-item
103	39	0	intellectual	amorphous	exploratory
104	48	0	factual	amorphous	known-subject
105	47	0	factual	specific	known-item
106	38	0	factual	specific	known-item
107	37	0	factual	specific	known-item
108	56	0	factual	amorphous	known-subject
109	57	0	intellectual	amorphous	exploratory
110	17	0	intellectual	amorphous	exploratory
111	11	0	intellectual	specific	interpretive
112	2	0	factual	specific	known-item
113	41	0	factual	amorphous	known-subject
114	7	0	intellectual	amorphous	exploratory
115	50	0	intellectual	specific	interpretive
116	55	0	factual	specific	known-item
117	14	0	intellectual	specific	interpretive
118	6	0	factual	amorphous	known-subject
119	43	0	intellectual	specific	interpretive
120	23	0	factual	amorphous	known-subject
121	3	0	intellectual	amorphous	exploratory
122	52	0	intellectual	specific	interpretive
123	41	0	factual	amorphous	known-subject
124	1	0	factual	amorphous	known-subject
125	23	0	factual	amorphous	known-subject
126	11	0	intellectual	specific	interpretive
127	45	0	intellectual	amorphous	exploratory
128	9	0	factual	amorphous	known-subject
129	14	0	intellectual	specific	interpretive
130	4	0	factual	specific	known-item
131	51	0	factual	specific	known-item
132	32	0	intellectual	amorphous	exploratory
133	12	0	intellectual	amorphous	exploratory
134	43	0	intellectual	specific	interpretive
135	1	0	factual	amorphous	known-subject
136	51	0	factual	specific	known-item
137	34	0	intellectual	specific	interpretive
138	19	0	intellectual	amorphous	exploratory
139	11	0	intellectual	specific	interpretive
140	18	0	intellectual	amorphous	exploratory
141	27	0	factual	specific	known-item
142	36	0	factual	amorphous	known-subject
143	48	0	factual	amorphous	known-subject
144	18	0	intellectual	amorphous	exploratory
145	45	0	intellectual	amorphous	exploratory
146	19	0	intellectual	amorphous	exploratory
147	50	0	intellectual	specific	interpretive
148	37	0	factual	specific	known-item
149	29	0	factual	specific	known-item
150	51	0	factual	specific	known-item
151	12	0	intellectual	amorphous	exploratory
152	29	0	factual	specific	known-item
153	43	0	intellectual	specific	interpretive
154	10	0	intellectual	amorphous	exploratory
155	7	0	intellectual	amorphous	exploratory
156	23	0	factual	amorphous	known-subject
157	2	0	factual	specific	known-item
158	40	0	factual	amorphous	known-subject
159	58	0	intellectual	specific	interpretive
160	25	0	intellectual	specific	interpretive
161	43	0	intellectual	specific	interpretive
162	26	0	intellectual	amorphous	exploratory
163	15	0	factual	specific	known-item
164	7	0	intellectual	amorphous	exploratory
165	31	0	factual	specific	known-item
166	26	0	intellectual	amorphous	exploratory
167	60	0	intellectual	specific	interpretive
168	2	0	factual	specific	known-item
169	34	0	intellectual	specific	interpretive
170	45	0	intellectual	amorphous	exploratory
171	16	0	factual	amorphous	known-subject
172	6	0	factual	amorphous	known-subject
173	27	0	factual	specific	known-item
174	18	0	intellectual	amorphous	exploratory
175	45	0	intellectual	amorphous	exploratory
176	27	0	factual	specific	known-item
177	35	0	intellectual	specific	interpretive
178	41	0	factual	amorphous	known-subject
179	1	0	factual	amorphous	known-subject
180	52	0	intellectual	specific	interpretive
181	16	0	factual	amorphous	known-subject
182	31	0	factual	specific	known-item
183	50	0	intellectual	specific	interpretive
184	20	0	intellectual	amorphous	exploratory
185	54	0	factual	specific	known-item
186	42	0	intellectual	amorphous	exploratory
187	59	0	factual	amorphous	known-subject
188	49	0	factual	specific	known-item
189	39	0	intellectual	amorphous	exploratory
190	36	0	factual	amorphous	known-subject
191	55	0	factual	specific	known-item
192	14	0	intellectual	specific	interpretive
193	31	0	factual	specific	known-item
194	20	0	intellectual	amorphous	exploratory
195	35	0	intellectual	specific	interpretive
196	41	0	factual	amorphous	known-subject
197	6	0	factual	amorphous	known-subject
198	13	0	factual	amorphous	known-subject
199	49	0	factual	specific	known-item
200	49	0	factual	specific	known-item
201	5	0	factual	amorphous	known-subject
202	16	0	factual	amorphous	known-subject
203	54	0	factual	specific	known-item
204	32	0	intellectual	amorphous	exploratory
205	1	0	factual	amorphous	known-subject
206	46	0	intellectual	amorphous	exploratory
207	11	0	intellectual	specific	interpretive
208	37	0	factual	specific	known-item
209	47	0	factual	specific	known-item
210	54	0	factual	specific	known-item
211	13	0	factual	amorphous	known-subject
212	60	0	intellectual	specific	interpretive
213	53	0	intellectual	specific	interpretive
214	60	0	intellectual	specific	interpretive
215	24	0	factual	specific	known-item
216	59	0	factual	amorphous	known-subject
217	28	0	intellectual	specific	interpretive
218	57	0	intellectual	amorphous	exploratory
219	50	0	intellectual	specific	interpretive
220	46	0	intellectual	amorphous	exploratory
221	38	0	factual	specific	known-item
222	4	0	factual	specific	known-item
223	21	0	factual	amorphous	known-subject
224	8	0	factual	specific	known-item
225	12	0	intellectual	amorphous	exploratory
226	22	0	intellectual	specific	interpretive
227	38	0	factual	specific	known-item
228	29	0	factual	specific	known-item
229	4	0	factual	specific	known-item
230	40	0	factual	amorphous	known-subject
231	20	0	intellectual	amorphous	exploratory
232	56	0	factual	amorphous	known-subject
233	44	0	intellectual	specific	interpretive
234	3	0	intellectual	amorphous	exploratory
235	3	0	intellectual	amorphous	exploratory
236	9	0	factual	amorphous	known-subject
237	38	0	factual	specific	known-item
238	17	0	intellectual	amorphous	exploratory
239	12	0	intellectual	amorphous	exploratory
240	10	0	intellectual	amorphous	exploratory
241	32	0	intellectual	amorphous	exploratory
242	59	0	factual	amorphous	known-subject
243	29	0	factual	specific	known-item
244	31	0	factual	specific	known-item
245	1	0	factual	amorphous	known-subject
246	24	0	factual	specific	known-item
247	59	0	factual	amorphous	known-subject
248	6	0	factual	amorphous	known-subject
249	29	0	factual	specific	known-item
250	7	0	intellectual	amorphous	exploratory
251	27	0	factual	specific	known-item
252	53	0	intellectual	specific	interpretive
253	26	0	intellectual	amorphous	exploratory
254	26	0	intellectual	amorphous	exploratory
255	37	0	factual	specific	known-item
256	11	0	intellectual	specific	interpretive
257	12	0	intellectual	amorphous	exploratory
258	22	0	intellectual	specific	interpretive
259	50	0	intellectual	specific	interpretive
260	4	0	factual	specific	known-item
261	34	0	intellectual	specific	interpretive
262	57	0	intellectual	amorphous	exploratory
263	19	0	intellectual	amorphous	exploratory
264	10	0	intellectual	amorphous	exploratory
265	37	0	factual	specific	known-item
266	42	0	intellectual	amorphous	exploratory
267	20	0	intellectual	amorphous	exploratory
268	56	0	factual	amorphous	known-subject
269	56	0	factual	amorphous	known-subject
270	56	0	factual	amorphous	known-subject
271	50	0	intellectual	specific	interpretive
272	44	0	intellectual	specific	interpretive
273	50	0	intellectual	specific	interpretive
274	47	0	factual	specific	known-item
275	16	0	factual	amorphous	known-subject
276	2	0	factual	specific	known-item
277	41	0	factual	amorphous	known-subject
278	18	0	intellectual	amorphous	exploratory
279	25	0	intellectual	specific	interpretive
280	34	0	intellectual	specific	interpretive
281	3	0	intellectual	amorphous	exploratory
282	38	0	factual	specific	known-item
283	4	0	factual	specific	known-item
284	17	0	intellectual	amorphous	exploratory
285	17	0	intellectual	amorphous	exploratory
286	38	0	factual	specific	known-item
287	13	0	factual	amorphous	known-subject
288	33	0	factual	amorphous	known-subject
289	18	0	intellectual	amorphous	exploratory
290	22	0	intellectual	specific	interpretive
291	31	0	factual	specific	known-item
292	4	0	factual	specific	known-item
293	58	0	intellectual	specific	interpretive
294	30	0	intellectual	specific	interpretive
295	42	0	intellectual	amorphous	exploratory
296	27	0	factual	specific	known-item
297	15	0	factual	specific	known-item
298	9	0	factual	amorphous	known-subject
299	24	0	factual	specific	known-item
300	41	0	factual	amorphous	known-subject
301	32	0	intellectual	amorphous	exploratory
302	22	0	intellectual	specific	interpretive
303	44	0	intellectual	specific	interpretive
304	28	0	intellectual	specific	interpretive
305	40	0	factual	amorphous	known-subject
306	50	0	intellectual	specific	interpretive
307	19	0	intellectual	amorphous	exploratory
308	1	0	factual	amorphous	known-subject
309	9	0	factual	amorphous	known-subject
310	43	0	intellectual	specific	interpretive
311	46	0	intellectual	amorphous	exploratory
312	46	0	intellectual	amorphous	exploratory
313	54	0	factual	specific	known-item
314	34	0	intellectual	specific	interpretive
315	37	0	factual	specific	known-item
316	14	0	intellectual	specific	interpretive
317	35	0	intellectual	specific	interpretive
318	26	0	intellectual	amorphous	exploratory
319	41	0	factual	amorphous	known-subject
320	45	0	intellectual	amorphous	exploratory
321	19	0	intellectual	amorphous	exploratory
322	29	0	factual	specific	known-item
323	43	0	intellectual	specific	interpretive
324	16	0	factual	amorphous	known-subject
325	8	0	factual	specific	known-item
326	49	0	factual	specific	known-item
327	55	0	factual	specific	known-item
328	60	0	intellectual	specific	interpretive
329	39	0	intellectual	amorphous	exploratory
330	55	0	factual	specific	known-item
331	16	0	factual	amorphous	known-subject
332	39	0	intellectual	amorphous	exploratory
333	58	0	intellectual	specific	interpretive
334	13	0	factual	amorphous	known-subject
335	49	0	factual	specific	known-item
336	49	0	factual	specific	known-item
337	51	0	factual	specific	known-item
338	33	0	factual	amorphous	known-subject
339	49	0	factual	specific	known-item
340	10	0	intellectual	amorphous	exploratory
341	51	0	factual	specific	known-item
342	40	0	factual	amorphous	known-subject
343	2	0	factual	specific	known-item
344	4	0	factual	specific	known-item
345	33	0	factual	amorphous	known-subject
346	48	0	factual	amorphous	known-subject
347	24	0	factual	specific	known-item
348	28	0	intellectual	specific	interpretive
349	57	0	intellectual	amorphous	exploratory
350	47	0	factual	specific	known-item
351	39	0	intellectual	amorphous	exploratory
352	8	0	factual	specific	known-item
353	60	0	intellectual	specific	interpretive
354	15	0	factual	specific	known-item
355	30	0	intellectual	specific	interpretive
356	41	0	factual	amorphous	known-subject
357	36	0	factual	amorphous	known-subject
358	5	0	factual	amorphous	known-subject
359	45	0	intellectual	amorphous	exploratory
360	14	0	intellectual	specific	interpretive
361	23	0	factual	amorphous	known-subject
362	48	0	factual	amorphous	known-subject
363	57	0	intellectual	amorphous	exploratory
364	21	0	factual	amorphous	known-subject
365	15	0	factual	specific	known-item
366	25	0	intellectual	specific	interpretive
367	11	0	intellectual	specific	interpretive
368	23	0	factual	amorphous	known-subject
369	22	0	intellectual	specific	interpretive
370	10	0	intellectual	amorphous	exploratory
371	6	0	factual	amorphous	known-subject
372	32	0	intellectual	amorphous	exploratory
373	55	0	factual	specific	known-item
374	40	0	factual	amorphous	known-subject
375	17	0	intellectual	amorphous	exploratory
376	7	0	intellectual	amorphous	exploratory
377	54	0	factual	specific	known-item
378	39	0	intellectual	amorphous	exploratory
379	17	0	intellectual	amorphous	exploratory
380	57	0	intellectual	amorphous	exploratory
381	26	0	intellectual	amorphous	exploratory
382	23	0	factual	amorphous	known-subject
383	2	0	factual	specific	known-item
384	31	0	factual	specific	known-item
385	15	0	factual	specific	known-item
386	24	0	factual	specific	known-item
387	53	0	intellectual	specific	interpretive
388	3	0	intellectual	amorphous	exploratory
389	18	0	intellectual	amorphous	exploratory
390	11	0	intellectual	specific	interpretive
391	29	0	factual	specific	known-item
392	9	0	factual	amorphous	known-subject
393	5	0	factual	amorphous	known-subject
394	9	0	factual	amorphous	known-subject
395	25	0	intellectual	specific	interpretive
396	60	0	intellectual	specific	interpretive
397	3	0	intellectual	amorphous	exploratory
398	48	0	factual	amorphous	known-subject
399	42	0	intellectual	amorphous	exploratory
400	12	0	intellectual	amorphous	exploratory
401	21	0	factual	amorphous	known-subject
402	21	0	factual	amorphous	known-subject
403	12	0	intellectual	amorphous	exploratory
404	30	0	intellectual	specific	interpretive
405	18	0	intellectual	amorphous	exploratory
406	8	0	factual	specific	known-item
407	6	0	factual	amorphous	known-subject
408	13	0	factual	amorphous	known-subject
409	34	0	intellectual	specific	interpretive
410	40	0	factual	amorphous	known-subject
411	36	0	factual	amorphous	known-subject
412	1	0	factual	amorphous	known-subject
413	16	0	factual	amorphous	known-subject
414	36	0	factual	amorphous	known-subject
415	58	0	intellectual	specific	interpretive
416	42	0	intellectual	amorphous	exploratory
417	2	0	factual	specific	known-item
418	31	0	factual	specific	known-item
419	47	0	factual	specific	known-item
420	43	0	intellectual	specific	interpretive
421	1	0	factual	amorphous	known-subject
422	7	0	intellectual	amorphous	exploratory
423	47	0	factual	specific	known-item
424	27	0	factual	specific	known-item
425	28	0	intellectual	specific	interpretive
426	52	0	intellectual	specific	interpretive
427	35	0	intellectual	specific	interpretive
428	44	0	intellectual	specific	interpretive
429	20	0	intellectual	amorphous	exploratory
430	32	0	intellectual	amorphous	exploratory
431	10	0	intellectual	amorphous	exploratory
432	54	0	factual	specific	known-item
433	45	0	intellectual	amorphous	exploratory
434	11	0	intellectual	specific	interpretive
435	13	0	factual	amorphous	known-subject
436	59	0	factual	amorphous	known-subject
437	45	0	intellectual	amorphous	exploratory
438	14	0	intellectual	specific	interpretive
439	8	0	factual	specific	known-item
440	48	0	factual	amorphous	known-subject
441	3	0	intellectual	amorphous	exploratory
442	53	0	intellectual	specific	interpretive
443	59	0	factual	amorphous	known-subject
444	27	0	factual	specific	known-item
445	60	0	intellectual	specific	interpretive
446	28	0	intellectual	specific	interpretive
447	33	0	factual	amorphous	known-subject
448	52	0	intellectual	specific	interpretive
449	36	0	factual	amorphous	known-subject
450	20	0	intellectual	amorphous	exploratory
451	37	0	factual	specific	known-item
452	43	0	intellectual	specific	interpretive
453	53	0	intellectual	specific	interpretive
454	23	0	factual	amorphous	known-subject
455	30	0	intellectual	specific	interpretive
456	56	0	factual	amorphous	known-subject
457	51	0	factual	specific	known-item
458	54	0	factual	specific	known-item
459	46	0	intellectual	amorphous	exploratory
460	51	0	factual	specific	known-item
461	38	0	factual	specific	known-item
462	19	0	intellectual	amorphous	exploratory
463	58	0	intellectual	specific	interpretive
464	7	0	intellectual	amorphous	exploratory
465	12	0	intellectual	amorphous	exploratory
466	52	0	intellectual	specific	interpretive
467	46	0	intellectual	amorphous	exploratory
468	55	0	factual	specific	known-item
469	5	0	factual	amorphous	known-subject
470	52	0	intellectual	specific	interpretive
471	21	0	factual	amorphous	known-subject
472	6	0	factual	amorphous	known-subject
473	35	0	intellectual	specific	interpretive
474	25	0	intellectual	specific	interpretive
475	44	0	intellectual	specific	interpretive
476	5	0	factual	amorphous	known-subject
477	38	0	factual	specific	known-item
478	35	0	intellectual	specific	interpretive
479	14	0	intellectual	specific	interpretive
480	20	0	intellectual	amorphous	exploratory
481	23	0	factual	amorphous	known-subject
482	2	0	factual	specific	known-item
483	37	0	factual	specific	known-item
484	56	0	factual	amorphous	known-subject
485	36	0	factual	amorphous	known-subject
486	28	0	intellectual	specific	interpretive
487	12	0	intellectual	amorphous	exploratory
488	10	0	intellectual	amorphous	exploratory
489	1	0	factual	amorphous	known-subject
490	27	0	factual	specific	known-item
491	55	0	factual	specific	known-item
492	22	0	intellectual	specific	interpretive
493	53	0	intellectual	specific	interpretive
494	36	0	factual	amorphous	known-subject
495	18	0	intellectual	amorphous	exploratory
496	29	0	factual	specific	known-item
497	59	0	factual	amorphous	known-subject
498	22	0	intellectual	specific	interpretive
499	28	0	intellectual	specific	interpretive
500	6	0	factual	amorphous	known-subject
501	8	0	factual	specific	known-item
502	24	0	factual	specific	known-item
503	18	0	intellectual	amorphous	exploratory
504	15	0	factual	specific	known-item
505	46	0	intellectual	amorphous	exploratory
506	47	0	factual	specific	known-item
507	35	0	intellectual	specific	interpretive
508	3	0	intellectual	amorphous	exploratory
509	51	0	factual	specific	known-item
510	49	0	factual	specific	known-item
511	45	0	intellectual	amorphous	exploratory
512	28	0	intellectual	specific	interpretive
513	15	0	factual	specific	known-item
514	29	0	factual	specific	known-item
515	43	0	intellectual	specific	interpretive
516	19	0	intellectual	amorphous	exploratory
517	2	0	factual	specific	known-item
518	58	0	intellectual	specific	interpretive
519	48	0	factual	amorphous	known-subject
520	4	0	factual	specific	known-item
521	7	0	intellectual	amorphous	exploratory
522	37	0	factual	specific	known-item
523	16	0	factual	amorphous	known-subject
524	23	0	factual	amorphous	known-subject
525	29	0	factual	specific	known-item
526	46	0	intellectual	amorphous	exploratory
527	5	0	factual	amorphous	known-subject
528	35	0	intellectual	specific	interpretive
529	18	0	intellectual	amorphous	exploratory
530	22	0	intellectual	specific	interpretive
531	9	0	factual	amorphous	known-subject
532	9	0	factual	amorphous	known-subject
533	45	0	intellectual	amorphous	exploratory
534	59	0	factual	amorphous	known-subject
535	34	0	intellectual	specific	interpretive
536	36	0	factual	amorphous	known-subject
537	15	0	factual	specific	known-item
538	6	0	factual	amorphous	known-subject
539	29	0	factual	specific	known-item
540	13	0	factual	amorphous	known-subject
541	20	0	intellectual	amorphous	exploratory
542	21	0	factual	amorphous	known-subject
543	56	0	factual	amorphous	known-subject
544	48	0	factual	amorphous	known-subject
545	37	0	factual	specific	known-item
546	15	0	factual	specific	known-item
547	27	0	factual	specific	known-item
548	31	0	factual	specific	known-item
549	55	0	factual	specific	known-item
550	19	0	intellectual	amorphous	exploratory
551	1	0	factual	amorphous	known-subject
552	60	0	intellectual	specific	interpretive
553	22	0	intellectual	specific	interpretive
554	12	0	intellectual	amorphous	exploratory
555	7	0	intellectual	amorphous	exploratory
556	43	0	intellectual	specific	interpretive
557	1	0	factual	amorphous	known-subject
558	18	0	intellectual	amorphous	exploratory
559	44	0	intellectual	specific	interpretive
560	46	0	intellectual	amorphous	exploratory
561	6	0	factual	amorphous	known-subject
562	3	0	intellectual	amorphous	exploratory
563	4	0	factual	specific	known-item
564	35	0	intellectual	specific	interpretive
565	29	0	factual	specific	known-item
566	28	0	intellectual	specific	interpretive
567	45	0	intellectual	amorphous	exploratory
568	23	0	factual	amorphous	known-subject
569	5	0	factual	amorphous	known-subject
570	15	0	factual	specific	known-item
571	52	0	intellectual	specific	interpretive
572	41	0	factual	amorphous	known-subject
573	55	0	factual	specific	known-item
574	43	0	intellectual	specific	interpretive
575	24	0	factual	specific	known-item
576	36	0	factual	amorphous	known-subject
577	57	0	intellectual	amorphous	exploratory
578	52	0	intellectual	specific	interpretive
579	28	0	intellectual	specific	interpretive
580	2	0	factual	specific	known-item
581	12	0	intellectual	amorphous	exploratory
582	57	0	intellectual	amorphous	exploratory
583	31	0	factual	specific	known-item
584	24	0	factual	specific	known-item
585	23	0	factual	amorphous	known-subject
586	16	0	factual	amorphous	known-subject
587	4	0	factual	specific	known-item
588	6	0	factual	amorphous	known-subject
589	4	0	factual	specific	known-item
590	45	0	intellectual	amorphous	exploratory
591	52	0	intellectual	specific	interpretive
592	53	0	intellectual	specific	interpretive
593	2	0	factual	specific	known-item
594	54	0	factual	specific	known-item
595	54	0	factual	specific	known-item
596	33	0	factual	amorphous	known-subject
597	5	0	factual	amorphous	known-subject
598	28	0	intellectual	specific	interpretive
599	10	0	intellectual	amorphous	exploratory
600	56	0	factual	amorphous	known-subject
601	5	0	factual	amorphous	known-subject
602	56	0	factual	amorphous	known-subject
603	12	0	intellectual	amorphous	exploratory
604	15	0	factual	specific	known-item
605	43	0	intellectual	specific	interpretive
606	45	0	intellectual	amorphous	exploratory
607	59	0	factual	amorphous	known-subject
608	10	0	intellectual	amorphous	exploratory
609	7	0	intellectual	amorphous	exploratory
610	33	0	factual	amorphous	known-subject
611	1	0	factual	amorphous	known-subject
612	4	0	factual	specific	known-item
613	3	0	intellectual	amorphous	exploratory
614	57	0	intellectual	amorphous	exploratory
615	24	0	factual	specific	known-item
616	29	0	factual	specific	known-item
617	21	0	factual	amorphous	known-subject
618	60	0	intellectual	specific	interpretive
619	2	0	factual	specific	known-item
620	19	0	intellectual	amorphous	exploratory
621	15	0	factual	specific	known-item
622	14	0	intellectual	specific	interpretive
623	38	0	factual	specific	known-item
624	6	0	factual	amorphous	known-subject
625	44	0	intellectual	specific	interpretive
626	30	0	intellectual	specific	interpretive
627	27	0	factual	specific	known-item
628	38	0	factual	specific	known-item
629	4	0	factual	specific	known-item
630	42	0	intellectual	amorphous	exploratory
631	38	0	factual	specific	known-item
632	17	0	intellectual	amorphous	exploratory
633	53	0	intellectual	specific	interpretive
634	2	0	factual	specific	known-item
635	1	0	factual	amorphous	known-subject
636	20	0	intellectual	amorphous	exploratory
637	52	0	intellectual	specific	interpretive
638	60	0	intellectual	specific	interpretive
639	28	0	intellectual	specific	interpretive
640	60	0	intellectual	specific	interpretive
641	31	0	factual	specific	known-item
642	41	0	factual	amorphous	known-subject
643	14	0	intellectual	specific	interpretive
644	24	0	factual	specific	known-item
645	15	0	factual	specific	known-item
646	8	0	factual	specific	known-item
647	18	0	intellectual	amorphous	exploratory
648	34	0	intellectual	specific	interpretive
649	4	0	factual	specific	known-item
650	35	0	intellectual	specific	interpretive
651	5	0	factual	amorphous	known-subject
652	60	0	intellectual	specific	interpretive
653	18	0	intellectual	amorphous	exploratory
654	44	0	intellectual	specific	interpretive
655	30	0	intellectual	specific	interpretive
656	52	0	intellectual	specific	interpretive
657	26	0	intellectual	amorphous	exploratory
658	23	0	factual	amorphous	known-subject
659	24	0	factual	specific	known-item
660	32	0	intellectual	amorphous	exploratory
661	9	0	factual	amorphous	known-subject
662	46	0	intellectual	amorphous	exploratory
663	43	0	intellectual	specific	interpretive
664	22	0	intellectual	specific	interpretive
665	59	0	factual	amorphous	known-subject
666	7	0	intellectual	amorphous	exploratory
667	7	0	intellectual	amorphous	exploratory
668	3	0	intellectual	amorphous	exploratory
669	26	0	intellectual	amorphous	exploratory
670	12	0	intellectual	amorphous	exploratory
671	43	0	intellectual	specific	interpretive
672	24	0	factual	specific	known-item
673	41	0	factual	amorphous	known-subject
674	59	0	factual	amorphous	known-subject
675	16	0	factual	amorphous	known-subject
676	19	0	intellectual	amorphous	exploratory
677	24	0	factual	specific	known-item
678	15	0	factual	specific	known-item
679	44	0	intellectual	specific	interpretive
680	31	0	factual	specific	known-item
681	24	0	factual	specific	known-item
682	59	0	factual	amorphous	known-subject
683	13	0	factual	amorphous	known-subject
684	42	0	intellectual	amorphous	exploratory
685	31	0	factual	specific	known-item
686	23	0	factual	amorphous	known-subject
687	41	0	factual	amorphous	known-subject
688	19	0	intellectual	amorphous	exploratory
689	6	0	factual	amorphous	known-subject
690	58	0	intellectual	specific	interpretive
691	36	0	factual	amorphous	known-subject
692	27	0	factual	specific	known-item
693	29	0	factual	specific	known-item
694	1	0	factual	amorphous	known-subject
695	2	0	factual	specific	known-item
696	59	0	factual	amorphous	known-subject
697	41	0	factual	amorphous	known-subject
698	49	0	factual	specific	known-item
699	59	0	factual	amorphous	known-subject
700	60	0	intellectual	specific	interpretive
701	4	0	factual	specific	known-item
702	56	0	factual	amorphous	known-subject
703	15	0	factual	specific	known-item
704	12	0	intellectual	amorphous	exploratory
705	58	0	intellectual	specific	interpretive
706	36	0	factual	amorphous	known-subject
707	7	0	intellectual	amorphous	exploratory
708	48	0	factual	amorphous	known-subject
709	45	0	intellectual	amorphous	exploratory
710	20	0	intellectual	amorphous	exploratory
711	40	0	factual	amorphous	known-subject
712	20	0	intellectual	amorphous	exploratory
713	57	0	intellectual	amorphous	exploratory
714	12	0	intellectual	amorphous	exploratory
715	6	0	factual	amorphous	known-subject
716	28	0	intellectual	specific	interpretive
717	52	0	intellectual	specific	interpretive
718	37	0	factual	specific	known-item
719	26	0	intellectual	amorphous	exploratory
720	46	0	intellectual	amorphous	exploratory
721	5	0	factual	amorphous	known-subject
722	37	0	factual	specific	known-item
723	31	0	factual	specific	known-item
724	37	0	factual	specific	known-item
725	45	0	intellectual	amorphous	exploratory
726	22	0	intellectual	specific	interpretive
727	35	0	intellectual	specific	interpretive
728	31	0	factual	specific	known-item
729	20	0	intellectual	amorphous	exploratory
730	51	0	factual	specific	known-item
731	14	0	intellectual	specific	interpretive
732	18	0	intellectual	amorphous	exploratory
733	24	0	factual	specific	known-item
734	46	0	intellectual	amorphous	exploratory
735	58	0	intellectual	specific	interpretive
736	55	0	factual	specific	known-item
737	57	0	intellectual	amorphous	exploratory
738	48	0	factual	amorphous	known-subject
739	51	0	factual	specific	known-item
740	8	0	factual	specific	known-item
741	35	0	intellectual	specific	interpretive
742	14	0	intellectual	specific	interpretive
743	14	0	intellectual	specific	interpretive
744	19	0	intellectual	amorphous	exploratory
745	4	0	factual	specific	known-item
746	46	0	intellectual	amorphous	exploratory
747	51	0	factual	specific	known-item
